GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
core-config/core-config,com.nttdata.core.common.service.impl,CoreServiceImpl,130,0,4,0,26,0,6,0,4,0
core-config/core-config,com.nttdata.core.menu.model,MenuDataLoad,116,0,24,0,5,0,20,0,8,0
core-config/core-config,com.nttdata.core.menu.model,Menu,30,339,1,75,0,12,8,52,7,15
core-config/core-config,com.nttdata.core.menu.model,MenuPage,38,0,8,0,2,0,8,0,4,0
core-config/core-config,com.nttdata.core.security.authentication,AuthenticationProviderWrapper,88,0,2,0,20,0,7,0,6,0
core-config/core-config,com.nttdata.core.security.authentication,CoreAuthenticationSuccessHandler,35,0,2,0,11,0,4,0,3,0
core-config/core-config,com.nttdata.core.profileauthorities.model,ProfileAuthority,23,103,1,23,2,3,4,16,3,5
core-config/core-config,com.nttdata.core.authorities.web,AuthorityController,18,0,0,0,6,0,6,0,6,0
core-config/core-config,com.nttdata.core.authorities.web,AuthorityPageValidator,16,0,0,0,5,0,3,0,3,0
core-config/core-config,com.nttdata.core.authorities.web,AuthorityValidator,33,0,0,0,9,0,3,0,3,0
core-config/core-config,com.nttdata.core.common.web,CoreController,73,0,2,0,15,0,6,0,5,0
core-config/core-config,com.nttdata.core.common.web,ErrorController,0,48,0,0,0,13,0,4,0,4
core-config/core-config,com.nttdata.core.mappingauthorities.service.impl,MappingAuthorityServiceImpl,75,0,6,0,16,0,7,0,4,0
core-config/core-config,com.nttdata.core.mappings.service.impl,MappingServiceImpl,416,0,26,0,95,0,35,0,22,0
